"","book","release","chapter","page","chapter_num","page_num","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"813","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 14 - Multivariate Model Comparisons","14.6 Using `shuffle()` for Targeted Model Comparisons (Part 2)",14,6,3,2,2,2,2,0,0,0,0,0,0,0,0
"814","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 14 - Multivariate Model Comparisons","14.7 Deciding Which Predictors to Include in a Model",14,7,1,4,4,2,2,0,0,0,0,0,0,0,2
"815","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 14 - Multivariate Model Comparisons","14.8 Models with Multiple Categorical Predictors",14,8,2,11,7,8,8,0,0,0,0,0,0,0,3
"816","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 14 - Multivariate Model Comparisons","14.9 Error and Inference from Models with Multiple Categorical Predictors",14,9,1,7,5,5,5,0,0,0,0,0,0,0,2
"817","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 14 - Multivariate Model Comparisons","14.10 Models with Multiple Quantitative Predictors",14,10,4,4,4,1,1,0,0,0,0,0,0,0,3
"818","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 14 - Multivariate Model Comparisons","14.11 Error and Inference from Models with Multiple Quantitative Predictors",14,11,1,6,3,4,2,0,2,0,0,0,0,0,2
"819","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.1 Dogs in the Emergency Room",15,1,3,10,9,5,5,0,0,0,0,0,0,1,4
"820","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.2 Additive versus Non-Additive Models",15,2,0,6,5,5,5,0,0,0,0,0,0,0,1
"821","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.3 Representing the Interaction Model in GLM Notation",15,3,0,6,4,5,4,1,0,0,0,0,0,0,1
"822","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.4 Interpreting Parameter Estimates for the Interaction Model",15,4,3,9,7,6,4,0,2,0,0,0,0,0,3
"823","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.5 Making Parameter Estimates More Meaningful in Interaction",15,5,0,3,3,3,3,0,0,0,0,0,0,0,0
"824","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.6 Centering a Quantitative Predictor at 0",15,6,2,7,5,5,5,0,0,0,0,0,0,0,2
"825","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 15 - Models with Interactions","15.7 Comparing the Interaction Model to the Additive Model (Part 1)",15,7,1,6,3,5,5,0,0,0,0,0,0,0,1
